,maid,horizontal_accuracy,latitude,longitude,city_hasc,postcode,Date,Hour,count
127,80fbe55b7e17182f12577478173933954e6264cf,17.0,-3.589515,128.33754,ID.MA.MT,97544.0,16-06-21,01:01:06,12
128,cfaba770b1d3a31a05f341d3d9dc7180d88c5867,16.0,-3.69697,128.17873,ID.MA.AM,97126.0,16-06-21,01:01:19,2
129,f397ff36e2386f90cc5b51b218096caaaa621bd8,8.0,-3.71407,128.16694,ID.MA.AM,97117.0,16-06-21,01:02:04,79
130,c78c434747084f96d6476584c2a00dc2788985d2,26.0,-3.711711,128.178776,ID.MA.AM,97116.0,16-06-21,01:05:47,93
132,677e2a26d0fb6364a4c3b94ec705d949f5f8668f,12.0,-3.589881,128.337634,ID.MA.MT,97544.0,16-06-21,01:06:21,3
133,50cde01633553bbb75af241e2dbead76eceb9748,7.0,-3.405518,128.691056,ID.MA.SB,97565.0,16-06-21,01:06:22,3
135,90dedec5a26b69a7884579b7c3b4a96d75bb90f9,13.0,-3.71172,128.17877,ID.MA.AM,97116.0,16-06-21,01:08:50,124
137,48fd6d2099d2b4d4cc2be9c580dc90e7b82962fc,21.0,-3.675675,128.19162,ID.MA.AM,97129.0,16-06-21,01:09:43,215
138,0564077f344e7439df5710e8682ab5021b14b21d,14.0,-3.62162,128.25613,ID.MA.AM,97214.0,16-06-21,01:10:22,32
142,13d6e353bf7f41beda74c5411571876b0c8cc63e,15.0,-3.675675,128.209682,ID.MA.AM,97128.0,16-06-21,01:11:21,122
145,2d011449511b140e04b25853db204386c8d3fd62,29.0,-2.99099,129.94278,ID.MA.MT,97544.0,16-06-21,01:12:30,5
146,a786eafb9603e7426c2bf01e7303cd23eef9d2cf,101.0,-3.6902,128.1776,,,16-06-21,01:13:40,4
148,7b7c532af12f0ff253388a679ae46d629b0baa65,8.0,-3.69948,128.17593,ID.MA.AM,97112.0,16-06-21,01:14:44,2
150,282a7066f5457ca3ab852a1c0f180d00cbef195b,29.0,-3.4955,128.70791,ID.MA.MT,97546.0,16-06-21,01:16:16,15
151,b7e51286f2f33c6e1c54ba9e8d2c53bb023e3437,15.0,-3.57811,128.18137,ID.MA.MT,97543.0,16-06-21,01:16:19,7
152,b466f1e921557c9e938fc765cd179da0cb03a7e2,10.0,-3.699366,128.179093,ID.MA.AM,97126.0,16-06-21,01:16:27,1
153,cbadf42914fd50ac2f61f1ef29a2e3cb2487f340,9.0,-3.60409,128.333343,ID.MA.MT,97544.0,16-06-21,01:16:51,9
155,844283558d71d54c51c633229e99336cce074393,6.0,-3.380981,129.546085,ID.MA.MT,97544.0,16-06-21,01:19:04,1
157,a605c43efb77cd1816885ffd90d0c4037d071e79,1.0,-3.675675,128.209682,ID.MA.AM,97128.0,16-06-21,01:20:44,4
158,24a60f1965720bf1c5a37c0575596aa5efc80697,9.0,-3.626349,128.243789,ID.MA.AM,97215.0,16-06-21,01:22:31,2
160,f2818a0b9ca4d1af619ba8e40e631110710adcf3,22.0,-3.70975,128.17752,ID.MA.AM,97116.0,16-06-21,01:23:57,10
161,c22e0963f6821b5e4f0f39e554ce2c00ef37a809,11.0,-3.356351,129.959253,ID.MA.ST,97583.0,16-06-21,01:24:10,1
162,bb98f3899065f4b29b839ee38c0e6d811c54c07b,33.0,-3.711711,128.16072,ID.MA.AM,97117.0,16-06-21,01:24:27,90
163,09559e0ef6aefa74f53ef362129668b7b732775f,15.0,-3.63935,128.196695,ID.MA.AM,97222.0,16-06-21,01:24:38,36
164,49409b3a36b4f2da8ad6e94b3bd6cc16f64ec950,11.0,-3.59137,128.33826,ID.MA.MT,97544.0,16-06-21,01:25:25,2
165,000f1ae70cbca60e13001ae056872ac684643f86,4.0,-2.851333,128.544351,ID.MA.SB,97562.0,16-06-21,01:25:38,1
169,aad05bcbba72caac8177ba56ea9e3a8555d1e426,4.0,-3.70835,128.172611,ID.MA.AM,97116.0,16-06-21,01:30:04,1
170,5583889ecf450440f871bcd186fbe6ab517edce6,9.0,-3.70682,128.17638,ID.MA.AM,97116.0,16-06-21,01:30:05,1
171,18e8854380559edafc966214adc8bc726e411775,31.0,-3.571389,128.663331,ID.MA.MT,97546.0,16-06-21,01:31:33,10
172,eb29275578ab52fb7c1a1f9ca377a2f69f8692f5,14.0,-3.58707,128.33065,ID.MA.MT,97544.0,16-06-21,01:32:18,198
175,16bb8df0d2419c1202cdbd8db130f1216f01c659,7.0,-3.047842,130.060744,ID.MA.MT,97544.0,16-06-21,01:34:51,1
176,ae64a4c7ef988419a8181eeb05331dffed63ef80,24.0,-3.6937,128.19422,ID.MA.AM,97121.0,16-06-21,01:36:28,74
177,6363f1ed8f4bc7a634e4395fb4b9958090417f73,10.0,-3.66929,128.20182,ID.MA.AM,97128.0,16-06-21,01:39:08,460
178,61a3043be965d73c56104e9706265a5742b10057,55.0,-3.6902,128.1776,,,16-06-21,01:39:24,2
184,fea5fd8dcbe3a6d875fba2649fe15fa580602bc6,18.0,-3.33573,128.353159,ID.MA.SB,97566.0,16-06-21,01:43:34,1
187,85887486430916484d2dd48890165a11955f6cf4,12.0,-3.693693,128.194223,ID.MA.AM,97121.0,16-06-21,01:45:59,116
190,866d4b65696922c1d3988aa9b90fef08ebf93725,91.0,-3.6902,128.1776,,,16-06-21,01:47:35,3
191,873b41108ce8d304161f55b84a0e9a79c5bac5fa,97.0,-3.6902,128.1776,,,16-06-21,01:48:02,1
192,6f91610861c66acf90c3cdecac42684cebd486e7,9.0,-3.679611,128.215482,ID.MA.AM,97128.0,16-06-21,01:49:33,3
193,139a757c5b312036c64ff55ef6db998f5e6c8d0f,15.0,-3.627073,128.24219,ID.MA.AM,97215.0,16-06-21,01:49:56,42
194,985dcebda575b2980bee8456ea5e6dcf6fc54214,19.0,-3.6902,128.1776,,,16-06-21,01:50:29,1
198,82cdc266bcb3b49c7cd0222ce473084acc99431b,16.0,-3.70283,128.17842,ID.MA.AM,97114.0,16-06-21,01:54:35,296
201,f31911b5f2d15938257e158cc4b61b705c99a1dd,3.0,-3.550964,128.422696,ID.MA.MT,97545.0,16-06-21,01:55:36,3
202,8c89395e67097d0710006f5f06aebd28f848fb8d,10.0,-3.508292,128.320689,ID.MA.MT,97544.0,16-06-21,01:56:06,1
205,8149aecc29cd3af5e28f1ad4bafd0ed8d7ea1939,7.0,-3.68038,128.17781,,,16-06-21,01:56:58,2
209,ebbaadc1abf9fda8472074a401b024ac881b1108,5.0,-3.69717,128.19229,ID.MA.AM,97129.0,16-06-21,01:57:30,2
210,5def4c8e45cdd1028cc0838d929918e5a80ca2a2,23.0,-2.81082,129.50715,ID.MA.MT,97544.0,16-06-21,01:58:24,72
211,25257dda5b675dcc3b92807661cf6565db50d20f,14.0,-3.603603,128.650767,ID.MA.MT,97546.0,16-06-21,01:59:17,68
215,7892cb38b324d52f3f15bb233022861859ab59e3,21.0,-3.711711,128.088497,ID.MA.MT,97227.0,16-06-21,02:02:17,93
217,bf3f0b4311ba7966675f1ded822b3881a602ddc4,14.0,-3.76577,128.1325,ID.MA.AM,97117.0,16-06-21,02:03:56,127
218,7fe1a4e7fa7cb43ddf1bfa23a3bb10250a5ef6c3,6.0,-3.69912,128.17476,ID.MA.AM,97112.0,16-06-21,02:04:47,5
219,15dee6ef9ae5425d5ccf9ccae67fb412a94cecc9,11.0,-3.71021,128.16142,ID.MA.AM,97117.0,16-06-21,02:04:53,3
223,5e712b131d594cf6ef2d66f2dd5ed1a8750e1180,16.0,-3.72973,128.18139,ID.MA.AM,97116.0,16-06-21,02:06:03,19
224,abfca932b68d7338e004509b85b1208e6db130ed,14.0,-3.67027,128.20252,ID.MA.AM,97128.0,16-06-21,02:07:03,1
226,b133ceae9b065a445b5654d03c2151ba5b147628,5.0,-3.099099,128.205515,ID.MA.SB,97561.0,16-06-21,02:08:02,117
227,8c501afecc18a90c21db843ca99b613455b3d5dc,5.0,-3.625177,128.251572,ID.MA.AM,97214.0,16-06-21,02:08:15,1
228,8d2627068cc185c5fe2381aa2e09efa3b7a315b1,3.0,-3.299396,128.964631,ID.MA.MT,97544.0,16-06-21,02:08:19,1
229,4a01136484a6145e8723a9f1b0bcde33b3417750,18.0,-3.081081,128.203339,ID.MA.SB,97561.0,16-06-21,02:08:46,5
231,fef6274e41ef8b86b503881ece2c1791e2059900,7.0,-3.657657,128.20709,,,16-06-21,02:08:58,7
233,655139e1005828f1615de97f296019f9b0067975,19.0,-3.68217,128.22094,ID.MA.AM,97128.0,16-06-21,02:11:50,463
234,a8ee9d8d64ec52de06c962f495fbbd3fdd2a0e7c,14.0,-3.624282,128.22247,ID.MA.AM,97217.0,16-06-21,02:12:06,1
235,2483ad7c47c1155601e90bd349b751ca753bb387,14.0,-3.7479,127.92929,ID.MA.MT,,16-06-21,02:12:36,8
236,b155d26f7395eae899ee241bcf1b5f5df64a333d,24.0,-3.657657,128.18904,ID.MA.AM,97223.0,16-06-21,02:13:51,232
237,1dea1bad1229ce98f521b664932bd6f5605f8358,6.0,-3.353867,128.993612,ID.MA.MT,97544.0,16-06-21,02:14:28,1
239,18dddc20c7218795fa8b94c8f00ebb6c0354f4fb,19.0,-3.681888,128.189366,ID.MA.AM,97128.0,16-06-21,02:17:18,120
240,53569b51a22f1b5232483de1be33d51a2e51d021,9.0,-2.863227,128.420132,ID.MA.SB,97562.0,16-06-21,02:17:28,10
242,eaa22fc5181cdd4c883dd7dfcbb23a1797c7f772,20.0,-3.6937,128.17615,ID.MA.AM,,16-06-21,02:19:26,147
243,63d56ed713300484eb8138e07649a3aac7769935,6.0,-3.653557,128.184053,ID.MA.AM,97223.0,16-06-21,02:19:30,2
245,eed740c57d125a56b32c84c335c15f77bd0b04f9,7.0,-3.675675,128.191627,ID.MA.AM,97129.0,16-06-21,02:19:38,4
246,a52e68eefe716868642ec29bf505085f374d98c1,6.0,-3.30274,128.96176,ID.MA.MT,97544.0,16-06-21,02:19:53,3
248,f6f361389c7756cc2e8813402975a5ce47a1ae11,7.0,-3.66765,127.94874,ID.MA.MT,97543.0,16-06-21,02:21:08,2
251,83bc88c563b53146f6211c5952a7b13648ab5434,20.0,-3.693693,128.176168,ID.MA.AM,,16-06-21,02:22:11,18
252,c06e4025216895d0f5cf1065a3c802fef4ef5f0b,11.0,-3.49683,128.698757,ID.MA.MT,97546.0,16-06-21,02:22:22,2
256,9178d917708ccdc5901f8c7343582495b681d69b,3.0,-3.68068,127.92755,ID.MA.MT,97543.0,16-06-21,02:22:48,149
257,5dc383bfd126e422f26a940bda369c098580180c,27.0,-3.801801,128.101722,ID.MA.AM,97117.0,16-06-21,02:23:37,80
258,d54d2f5c2b1a5dda09368a34be480e7b8c8a3307,37.0,-3.701212,128.181742,ID.MA.AM,97127.0,16-06-21,02:23:57,3
262,0febde54a8d5a0af8d4280d68660b1089a5a5fe7,27.0,-2.800199,129.501557,ID.MA.MT,97544.0,16-06-21,02:24:23,159
267,a4028f43a326eec9776d5ec4331b98a0068c9d18,16.0,-3.693693,128.194223,ID.MA.AM,97121.0,16-06-21,02:28:34,122
268,c350348cd2983d145b061c4a6658c0d73ea305f8,4.0,-2.9225,129.23921,ID.MA.MT,97544.0,16-06-21,02:28:37,2
269,e9f6cfb617584491f9df68aa37592082bdddbf47,16.0,-3.206178,128.273383,ID.MA.SB,97564.0,16-06-21,02:29:06,2
270,a39039648881828172a734212c62232c4636c206,23.0,-3.69686,128.18659,ID.MA.AM,97123.0,16-06-21,02:29:10,48
272,a88dc1879e4ba20d5cf62c308aa8f7a34846b32e,19.0,-3.69905,128.18057,ID.MA.AM,97127.0,16-06-21,02:30:26,3
275,e1f19a3f4ed66c1d37aeb5ff5827d9aa631a0a94,12.0,-2.85934,128.73121,ID.MA.SB,97563.0,16-06-21,02:31:17,11
276,7ac70fa431f40072e6bb4f6a5b6415b5f56c2765,8.0,-3.28651,128.97194,ID.MA.MT,97544.0,16-06-21,02:31:18,1
278,660d545f749e01249e99b98935c7317cd8782bf7,9.0,-3.70011,128.174462,ID.MA.AM,97112.0,16-06-21,02:32:27,1
280,210abf25a7b386e45b4d1ae1c141d5c0190c8377,21.0,-3.693726,128.180373,ID.MA.AM,97126.0,16-06-21,02:32:53,137
282,17973b1ffd5002373b953ee9a8e96a99d91aba70,17.0,-3.65766,128.18904,ID.MA.AM,97223.0,16-06-21,02:33:34,2
285,71812386db0ef9141609792168ab17d6185c97c7,6.0,-3.63172,128.21781,ID.MA.AM,97217.0,16-06-21,02:34:14,2
287,7a26544b4a3557112478168c18e9f22401890bd5,15.0,-3.62763,128.25017,ID.MA.AM,97214.0,16-06-21,02:36:31,4
288,3f6f10d4ac0a2280ded880a5f2acf07a450054f0,13.0,-2.95798,129.11842,ID.MA.MT,97544.0,16-06-21,02:36:36,2
290,2e764a051749d1352ce01bd021f32eb1dca29349,15.0,-3.69946,128.187184,ID.MA.AM,97125.0,16-06-21,02:36:53,4
291,5bb64c9ff4ab983fc74c65555ccbf6b4d43d5699,27.0,-3.65209,128.2318,ID.MA.AM,97212.0,16-06-21,02:36:56,15
293,edd508bdf9143b4249fc98973fbc1939c262a934,8.0,-2.958185,129.115563,ID.MA.MT,97544.0,16-06-21,02:37:23,1
294,acf14fb4542c5e1886069c081db3aaaf7b7be942,8.0,-3.689228,128.221207,ID.MA.AM,97128.0,16-06-21,02:37:28,2
299,f391f121a234fcc7549bf79bd0f953c7f86f4c0a,11.0,-3.682981,128.212075,ID.MA.AM,97128.0,16-06-21,02:38:41,4
301,033a3072e93f55f6d2bd2032c3bf0a0ea65fbb90,8.0,-3.62914,128.252051,ID.MA.AM,97214.0,16-06-21,02:40:14,1
305,a495344f313ce37967624c705b9b9548c6b0b34a,8.0,-3.495475,128.694043,ID.MA.MT,97546.0,16-06-21,02:42:09,89
307,a5bd51fc8e1e5d0a18ef11e1fb19d47013a5061d,13.0,-3.696142,128.181876,ID.MA.AM,97126.0,16-06-21,02:43:40,31
309,52455c1917109f18303891147d448f8707693933,6.0,-3.35407,129.955723,ID.MA.ST,97583.0,16-06-21,02:44:21,6
312,3ed41cfb1f06033fc27c3e80863ccd62cf261127,9.0,-3.68312,128.20976,ID.MA.AM,97128.0,16-06-21,02:45:12,2
314,3825589d1091e9cc04c846541717fe8837c3d845,6.0,-3.704477,128.172786,ID.MA.AM,97115.0,16-06-21,02:45:33,2
315,0ed6cba4475d3c353164c4f4f32a6dbc12968d23,17.0,-3.68426,128.22664,ID.MA.AM,97128.0,16-06-21,02:45:43,372
319,1bee5bee2b68416eee51df90ce363ca9ee813896,15.0,-3.70488,128.1593,ID.MA.AM,97117.0,16-06-21,02:46:54,3
322,5c785672cde46fce6e3b0b16e55ba3c3d69419c4,36.0,-3.711711,128.178776,ID.MA.AM,97116.0,16-06-21,02:49:15,59
324,44e3dd4dca254a6b1449bd125e4834992d459bad,13.0,-3.287659,128.981175,ID.MA.MT,97544.0,16-06-21,02:50:33,1
325,11f752e49e173e1105c428f8e3ddc315d8273e7b,8.0,-3.710605,127.922759,ID.MA.MT,97543.0,16-06-21,02:51:10,3
328,a8eee3c63bf8828e81c4eba73a0c6c4d1b601a2a,21.0,-3.690678,128.189508,ID.MA.AM,97121.0,16-06-21,02:52:51,51
330,9abfb5f4b5df9f0a0430a12fa1c8b6b3ec8c372a,13.0,-3.71481,128.1796,ID.MA.AM,97116.0,16-06-21,02:53:23,2
333,3773411cbc6f5f7de64e18ff6db300dce86315af,16.0,-3.675675,128.209682,ID.MA.AM,97128.0,16-06-21,02:54:06,49
334,77097bc8d992609efab1f3c7dee6b2bd44fe37e7,7.0,-3.67569,128.20969,ID.MA.AM,97128.0,16-06-21,02:54:30,112
336,d2129a491256e6a3c72ee91b54875fc4f9dbd3d8,18.0,-3.207207,129.048971,ID.MA.MT,97544.0,16-06-21,02:55:01,4
337,25be564c4a449dd828f178f1ab70600b76bc409d,18.0,-3.693693,128.176168,ID.MA.AM,97121.0,16-06-21,02:55:23,161
338,e320a0d1e703bbd8a9db79ebea3bc13ca9977458,3.0,-3.704848,128.158838,ID.MA.AM,97117.0,16-06-21,02:57:18,1
341,c4eb43efdce2298c3c9b61684155cf1e3b7d16ef,13.0,-3.708492,128.165917,ID.MA.AM,97117.0,16-06-21,02:59:16,13
344,759ecc1f80722b06e162428b6676e83d6fa7b61c,31.0,-3.027027,129.947076,ID.MA.MT,97544.0,16-06-21,02:59:44,183
346,c0e32e21436b4a3eee5a316d12619a783d47eb98,14.0,-3.681926,128.202343,ID.MA.AM,97128.0,16-06-21,03:01:38,2
347,53265b3f8a6391acf388944692339e3c0a300f64,18.0,-3.66007,128.18268,ID.MA.AM,97223.0,16-06-21,03:02:11,1
349,e972d3b588b93095d078f7086fb7324a46ee19b2,23.0,-3.646605,128.188839,ID.MA.AM,97222.0,16-06-21,03:03:12,2
351,c6aa39350dd52cc0404041cecbe3c532dcda6064,17.0,-3.557627,128.191793,ID.MA.MT,97543.0,16-06-21,03:03:50,1
354,d783ef8f58149be343cfe1e47e6d2ae48239138a,10.0,-3.630371,128.223907,ID.MA.AM,97217.0,16-06-21,03:04:47,1
360,967b034fb192c13fb7de105c5769aef8e208fdd6,23.0,-3.603603,128.542445,ID.MA.MT,97545.0,16-06-21,03:06:27,172
362,4f1df75eb85253c703227a2829c9391f305fa0e0,12.0,-3.653314,128.227411,ID.MA.AM,97212.0,16-06-21,03:07:36,1
363,985fd2d8917ea26d8854e9693b49022fab9b0847,14.0,-3.355415,128.993144,ID.MA.MT,97544.0,16-06-21,03:07:36,3
364,53009e7c2fc839691bea1705d16661d1bf6c32ba,21.0,-3.704247,128.169677,ID.MA.AM,97115.0,16-06-21,03:07:46,1
